 0.013831 0.790741 -19.178373			0	0
 0.982342 0.453872 -19.178196			0	0
 1.944177 0.119328 -19.178196			0	0
 2.931683 -0.224134 -19.177692			0	0
 3.919163 -0.567586 -19.177189			0	0
 4.880738 -0.902024 -19.177189			0	0
 5.846243 -1.237827 -19.177189			0	0
 6.827470 -1.579093 -19.177189			0	0
 7.798530 -1.916820 -19.177040			0	0
 8.745864 -2.246292 -19.176544			0	0
 9.696699 -2.576979 -19.176197			0	0
 10.655700 -2.910502 -19.176197			0	0
 11.617151 -3.244876 -19.176197			0	0
 12.584317 -3.581238 -19.176197			0	0
 13.552883 -3.918086 -19.176197			0	0
 14.524712 -4.256070 -19.176197			0	0
 15.496890 -4.594171 -19.176197			0	0
 16.469880 -4.932550 -19.176197			0	0
 17.442168 -5.270685 -19.176197			0	0
 18.412817 -5.608255 -19.176197			0	0
 19.381714 -5.945214 -19.176197			0	0
 20.346521 -6.280749 -19.176197			0	0
 21.308523 -6.615309 -19.176197			0	0
 22.263984 -6.947597 -19.176197			0	0
 23.230476 -7.283720 -19.176197			0	0
 24.222704 -7.628794 -19.176197			0	0
 25.208048 -7.971477 -19.176197			0	0
 26.183065 -8.310571 -19.176197			0	0
 27.147636 -8.646033 -19.176197			0	0
 28.101761 -8.977862 -19.176197			0	0
 29.072123 -9.315343 -19.176527			0	0
 30.053308 -9.656593 -19.177078			0	0
 31.010623 -9.989541 -19.177189			0	0
 31.961970 -10.320414 -19.177189			0	0
 32.933570 -10.658338 -19.177189			0	0
 33.910689 -10.998186 -19.177377			0	0
 34.900688 -11.342522 -19.178007			0	0
 35.902019 -11.690809 -19.178666			0	0
 36.897312 -12.037002 -19.179203			0	0
 37.849025 -12.368044 -19.179203			0	0
 38.820610 -12.706017 -19.179980			0	0
 39.800713 -13.046960 -19.181091			0	0
 40.793015 -13.392171 -19.182326			0	0
 41.788344 -13.738452 -19.183841			0	0
 42.787573 -14.086122 -19.185978			0	0
 43.365549 -14.381942 -34.620528			0	0
 44.156104 -15.270266 -61.267200			0	0
 44.518268 -16.294074 -76.627189			0	0
 44.671282 -17.369452 -86.793862			0	0
 44.657191 -18.437276 -93.707373			0	0
 44.525553 -19.499909 -99.521864			0	0
 44.294403 -20.544895 -105.791199			0	0
 43.993895 -21.541837 -109.045864			0	0
 43.673241 -22.501978 -108.845195			0	0
 43.342930 -23.458726 -109.069571			0	0
 43.009050 -24.420061 -109.256463			0	0
 42.669817 -25.388275 -109.387129			0	0
 42.322062 -26.372631 -109.488257			0	0
 41.984106 -27.326068 -109.576381			0	0
 41.628766 -28.321968 -109.660793			0	0
 41.277344 -29.303462 -109.746195			0	0
 40.934698 -30.256269 -109.833699			0	0
 40.592817 -31.200316 -109.956266			0	0
 40.250243 -32.141287 -110.132864			0	0
