0.059087	-0.843897		19.988248
0.620487	-0.62595		26.489999
1.524321	-0.195945		26.489374
2.449872	0.244386		26.488999
3.407999	0.700204		26.488999
4.360158	1.153178		26.488529
5.309954	1.605026		26.488
6.251919	2.053138		26.488
7.190959	2.499856		26.487842
8.123174	2.943321		26.487316
9.051134	3.384759		26.487
9.972709	3.823155		26.487
10.889723	4.259378		26.487
11.799896	4.692343		26.487
12.71928	5.129689		26.486858
13.660154	5.577255		26.486382
14.597998	6.023378		26.486001
15.523718	6.463727		26.486001
16.449438	6.904077		26.486001
17.359698	7.33707		    26.486001
18.269958	7.770063		26.486001
19.196435	8.210767		26.486001
20.129862	8.654774		26.486001
21.055991	9.095309		26.485834
21.97117	9.530633		26.485418
22.88635	9.965957		26.485002
23.820622	10.410359		26.485002
24.754894	10.854762		26.485002
25.676844	11.293301		26.485002
26.590581	11.727933		26.485002
27.505852	12.163294		26.485002
28.434931	12.605218		26.485002
29.36401	13.047143		26.485002
30.279639	13.482669		26.485002
31.186301	13.91393		26.485002
32.092964	14.34519		26.485002
33.01151	14.782102		26.485002
33.930057	15.219014		26.485002
34.852781	15.657912		26.485002
35.781774	16.099787		26.485002
36.710766	16.541662		26.485002
37.619175	16.973748		26.485002
38.522438	17.403386		26.485002
39.426431	17.83337		26.484965
40.33699	18.266477		26.484594
41.24755	18.699583		26.484224
42.160475	19.133814		26.484002
43.076948	19.569729		26.484002
43.993421	20.005645		26.484002
44.913067	20.443069		26.484002
45.834072	20.88114		26.484002
